date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:00	242569/242569	---M--	200	added ('OK')	image/png	etag:%223b389-677cbe18-16f81f401c194799;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-1.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-1.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:00	17295/17295	---M--	200	added ('OK')	image/jpeg	etag:%22438f-677cbe18-c5cd970777397622;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/blog/blog-bg.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/blog/blog-bg.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:00	11422/11422	---M--	200	added ('OK')	image/jpeg	etag:%222c9e-677cbe18-a5f4de9c265da590;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/blog/blog-thumb-2.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/blog/blog-thumb-2.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:00	142464/142464	---M--	200	added ('OK')	image/jpeg	etag:%2222c80-677cbe18-a908e4e3e0e0cba9;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/blog/blog-thumb.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/blog/blog-thumb.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:01	52388/52388	---M-Z	200	added ('OK')	text/html	etag:%22cca4-677f9526-28089e12b0d23fde;gz%22	https://html.hixstudio.net/uncut-pv/uncut/corporate/blog-details.html	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/uncut/corporate/blog-details.html	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:01	23551/23551	---M--	200	added ('OK')	image/jpeg	etag:%225bff-677cbe18-9ced3750f2ffa7ae;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/web/perfectly-website.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/web/perfectly-website.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:01	4752/4752	---M--	200	added ('OK')	image/png	etag:%221290-677cbe18-fc924536f6cbdc46;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/web/wow.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/web/wow.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:01	7663/7663	---M-Z	200	added ('OK')	image/svg+xml	etag:%221def-677cbe18-98b644bb2e993e39;gz%22	https://html.hixstudio.net/uncut-pv/assets/img/web/line.svg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/web/line.svg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:02	44184/44184	---M--	200	added ('OK')	image/jpeg	etag:%22ac98-677cbe18-c7d562b7c4eed6ec;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/pages/thumb.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/pages/thumb.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:02	39853/39853	---M--	200	added ('OK')	image/jpeg	etag:%229bad-677cbe18-8b7a84b821f1abdd;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/pages/thumb-2.jpg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/pages/thumb-2.jpg	(from https://html.hixstudio.net/uncut-pv/index.html)
